Location_ID,Location_Name,Location_Setting,Location_Description,County,Coordinate_System,Latitude_Decimal_Degrees,Longitude_Decimal_Degrees,Horizontal_Coordinates_Represent,Horizontal_Datum,Horizontal_Coordinate_Accuracy,Horizontal_Coordinate_Collection_Method,Paper_Map_Scale
"HorKl","Horsethief Lake, Klickitat","Lake/Pond/Reservoir","Horsethief Lake, Klickitat","Klickitat","LAT/LONG","45.646233","-121.102642","99","1","99","13","1"
"HorTh","Horseshoe Lake, Thurston","Lake/Pond/Reservoir","Horseshoe Lake, Thurston","Thurston","LAT/LONG","46.702181","-122.982344","99","1","99","13","1"
"HowSn","Howard Lake, Snohomish","Lake/Pond/Reservoir","Howard Lake, Snohomish","Snohomish","LAT/LONG","48.156440","-122.326090","99","1","99","13","1"
"I-9Ki","I-90 Pond, King","Lake/Pond/Reservoir","I-90 Pond, King","King","LAT/LONG","","","99","1","99","13","1"
"IrrCl","Irrigation Culvert, Clallam","Lake/Pond/Reservoir","Irrigation Culvert, Clallam","Clallam","LAT/LONG","48.079700","-123.214350","99","1","99","13","1"
"IslKi","Island Lake, Kitsap","Lake/Pond/Reservoir","Island Lake, Kitsap","Kitsap","LAT/LONG","47.682224","-122.659794","99","1","99","13","1"
"JamDo","Jameson Lake, Douglas","Lake/Pond/Reservoir","Jameson Lake, Douglas","Douglas","LAT/LONG","47.686328","-119.624342","99","1","99","13","1"
"JeaJe","Jean Rice's Pond, Jefferson","Lake/Pond/Reservoir","Jean Rice's Pond, Jefferson","Jefferson","LAT/LONG","48.072040","-122.842880","99","1","99","13","1"
"JeaKi","Lake Jeane, King","Lake/Pond/Reservoir","Lake Jeane, King","King","LAT/LONG","47.311181","-122.382043","99","1","99","13","1"
"JoeKi","Joe's Creek, King","Lake/Pond/Reservoir","Joe's Creek, King","King","LAT/LONG","47.312903","-122.377428","99","1","99","13","1"
"KalJe","Kalaloch Creek Intake, Jefferson","Lake/Pond/Reservoir","Kalaloch Creek Intake, Jefferson","Jefferson","LAT/LONG","47.604889","-124.368093","99","1","99","13","1"
"KatKi","Lake Kathleen, King","Lake/Pond/Reservoir","Lake Kathleen, King","King","LAT/LONG","47.478139","-122.088101","99","1","99","13","1"
"KenIs","Kennedy Lagoon, Island","Lake/Pond/Reservoir","Kennedy Lagoon, Island","Island","LAT/LONG","48.226910","-122.735464","99","1","99","13","1"
"KenTh","Kennedy Creek, Thurston","Lake/Pond/Reservoir","Kennedy Creek, Thurston","Thurston","LAT/LONG","47.095356","-123.090703","99","1","99","13","1"
"KetSn","Lake Ketchum, Snohomish","Lake/Pond/Reservoir","Lake Ketchum, Snohomish","Snohomish","LAT/LONG","48.282224","-122.345157","99","1","99","13","1"
"KilKi","Lake Killarney, King","Lake/Pond/Reservoir","Lake Killarney, King","King","LAT/LONG","47.286606","-122.290891","99","1","99","13","1"
"KitKi","Kitsap Creek, Kitsap","Lake/Pond/Reservoir","Kitsap Creek, Kitsap","Kitsap","LAT/LONG","47.579060","-122.711671","99","1","99","13","1"
"KitKi","Kitsap Lake, Kitsap","Lake/Pond/Reservoir","Kitsap Lake, Kitsap","Kitsap","LAT/LONG","47.572437","-122.705140","99","1","99","13","1"
"KNYKi","Kennydale Beach, King","Lake/Pond/Reservoir","Kennydale Beach, King","King","LAT/LONG","47.523200","-122.207800","99","1","99","13","1"
"LacCl","Lacamas Lake, Clark","Lake/Pond/Reservoir","Lacamas Lake, Clark","Clark","LAT/LONG","45.616562","-122.425293","99","1","99","13","1"
"LakKi","Lakes at Kent, King","Lake/Pond/Reservoir","Lakes at Kent, King","King","LAT/LONG","","","99","1","99","13","1"
"LakPi","Lake 14, Pierce","Lake/Pond/Reservoir","Lake 14, Pierce","Pierce","LAT/LONG","","","99","1","99","13","1"
"LakSk","Lake Sixteen, Skagit","Lake/Pond/Reservoir","Lake Sixteen, Skagit","Skagit","LAT/LONG","48.344330","-122.289140","99","1","99","13","1"
"Lan","Lanhams Pond","Lake/Pond/Reservoir","Lanhams Pond","","LAT/LONG","47.904200","-117.938400","99","1","99","13","1"
"LawTh","Lake Lawrence, Thurston","Lake/Pond/Reservoir","Lake Lawrence, Thurston","Thurston","LAT/LONG","46.852041","-122.571019","99","1","99","13","1"
"LelJe","Leland Lake, Jefferson","Lake/Pond/Reservoir","Leland Lake, Jefferson","Jefferson","LAT/LONG","47.895084","-122.882330","99","1","99","13","1"
"LibSp","Liberty Lake, Spokane","Lake/Pond/Reservoir","Liberty Lake, Spokane","Spokane","LAT/LONG","47.645152","-117.078058","99","1","99","13","1"
"LinGr","Lind Coulee, Grant","Lake/Pond/Reservoir","Lind Coulee, Grant","Grant","LAT/LONG","46.989433","-119.220230","99","1","99","13","1"
"LinGr","Lind Coulee #1, Grant","Lake/Pond/Reservoir","Lind Coulee #1, Grant","Grant","LAT/LONG","46.987625","-119.231300","99","1","99","13","1"
"LinGr","Lind Coulee A, Grant","Lake/Pond/Reservoir","Lind Coulee A, Grant","Grant","LAT/LONG","46.988892","-119.219849","99","1","99","13","1"
