Location_ID,Location_Name,Location_Setting,Location_Description,County,Coordinate_System,Latitude_Decimal_Degrees,Longitude_Decimal_Degrees,Horizontal_Coordinates_Represent,Horizontal_Datum,Horizontal_Coordinate_Accuracy,Horizontal_Coordinate_Collection_Method,Paper_Map_Scale
"SheSp","Shelley Lake, Spokane","Lake/Pond/Reservoir","Shelley Lake, Spokane","Spokane","LAT/LONG","47.652210","-117.184600","99","1","99","13","1"
"SilCo","Silver Lake, Cowlitz","Lake/Pond/Reservoir","Silver Lake, Cowlitz","Cowlitz","LAT/LONG","46.293019","-122.789606","99","1","99","13","1"
"SilJe","Silent Lake, Jefferson","Lake/Pond/Reservoir","Silent Lake, Jefferson","Jefferson","LAT/LONG","47.790192","-122.770777","99","1","99","13","1"
"SilPi","Silver Lake, Pierce","Lake/Pond/Reservoir","Silver Lake, Pierce","Pierce","LAT/LONG","46.884853","-122.365583","99","1","99","13","1"
"SolCl","Solmar Lake, Clallam","Lake/Pond/Reservoir","Solmar Lake, Clallam","Clallam","LAT/LONG","48.093737","-123.226270","99","1","99","13","1"
"SolJe","Solstice Farm, Jefferson","Lake/Pond/Reservoir","Solstice Farm, Jefferson","Jefferson","LAT/LONG","47.979060","-122.741900","99","1","99","13","1"
"SouLe","South County Pond, Lewis","Lake/Pond/Reservoir","South County Pond, Lewis","Lewis","LAT/LONG","46.432800","-122.842200","99","1","99","13","1"
"SpaPi","Spanaway Lake, Pierce","Lake/Pond/Reservoir","Spanaway Lake, Pierce","Pierce","LAT/LONG","47.110133","-122.448058","99","1","99","13","1"
"SpeKl","Spearfish Lake, Klickitat","Lake/Pond/Reservoir","Spearfish Lake, Klickitat","Klickitat","LAT/LONG","45.628160","-121.130800","99","1","99","13","1"
"SpeMa","Spencer Lake, Mason","Lake/Pond/Reservoir","Spencer Lake, Mason","Mason","LAT/LONG","47.265714","-122.959174","99","1","99","13","1"
"SpoSp","Lake Spokane, Spokane","Lake/Pond/Reservoir","Lake Spokane, Spokane","Spokane","LAT/LONG","47.805114","-117.599451","99","1","99","13","1"
"SprKi","Spring Lake, King","Lake/Pond/Reservoir","Spring Lake, King","King","LAT/LONG","47.436578","-122.087990","99","1","99","13","1"
"StaGr","State Park, Grant","Lake/Pond/Reservoir","State Park, Grant","Grant","LAT/LONG","46.981380","-119.347031","99","1","99","13","1"
"StaPi","Stansberry Lake, Pierce","Lake/Pond/Reservoir","Stansberry Lake, Pierce","Pierce","LAT/LONG","47.387090","-122.727410","99","1","99","13","1"
"StCTh","Lake St. Clair, Thurston","Lake/Pond/Reservoir","Lake St. Clair, Thurston","Thurston","LAT/LONG","47.000256","-122.720034","99","1","99","13","1"
"SteKi","Steel Lake, King","Lake/Pond/Reservoir","Steel Lake, King","King","LAT/LONG","47.327524","-122.302892","99","1","99","13","1"
"StePi","Steilacoom Lake, Pierce","Lake/Pond/Reservoir","Steilacoom Lake, Pierce","Pierce","LAT/LONG","47.166454","-122.536126","99","1","99","13","1"
"SteSn","Lake Stevens, Snohomish","Lake/Pond/Reservoir","Lake Stevens, Snohomish","Snohomish","LAT/LONG","48.004380","-122.084707","99","1","99","13","1"
"StoSn","Storm Lake, Snohomish","Lake/Pond/Reservoir","Storm Lake, Snohomish","Snohomish","LAT/LONG","47.939376","-121.972625","99","1","99","13","1"
"SumTh","Summit Lake, Thurston","Lake/Pond/Reservoir","Summit Lake, Thurston","Thurston","LAT/LONG","47.056240","-123.104200","99","1","99","13","1"
"SunJe","Sunset Lake, Jefferson","Lake/Pond/Reservoir","Sunset Lake, Jefferson","Jefferson","LAT/LONG","47.999316","-122.831851","99","1","99","13","1"
"SunSn","Sunday Lake, Snohomish","Lake/Pond/Reservoir","Sunday Lake, Snohomish","Snohomish","LAT/LONG","48.229097","-122.257505","99","1","99","13","1"
"SutCl","Lake Sutherland, Clallam","Lake/Pond/Reservoir","Lake Sutherland, Clallam","Clallam","LAT/LONG","48.077812","-123.708708","99","1","99","13","1"
"SylGr","Sylvia Lake, Grays Harbor","Lake/Pond/Reservoir","Sylvia Lake, Grays Harbor","Grays Harbor","LAT/LONG","46.998902","-123.592107","99","1","99","13","1"
"TanPi","Tanwax Lake, Pierce","Lake/Pond/Reservoir","Tanwax Lake, Pierce","Pierce","LAT/LONG","46.950177","-122.266520","99","1","99","13","1"
"TapPi","Lake Tapps, Pierce","Lake/Pond/Reservoir","Lake Tapps, Pierce","Pierce","LAT/LONG","47.214800","-122.170200","99","1","99","13","1"
"TeaJe","Teal Lake, Jefferson","Lake/Pond/Reservoir","Teal Lake, Jefferson","Jefferson","LAT/LONG","47.893475","-122.673612","99","1","99","13","1"
"TemTh","Tempo Lake, Thurston","Lake/Pond/Reservoir","Tempo Lake, Thurston","Thurston","LAT/LONG","46.930370","-122.807083","99","1","99","13","1"
"TerJe","Teri Lake, Jefferson","Lake/Pond/Reservoir","Teri Lake, Jefferson","Jefferson","LAT/LONG","","","99","1","99","13","1"
"ToaWh","Toad Lake, Whatcom","Lake/Pond/Reservoir","Toad Lake, Whatcom","Whatcom","LAT/LONG","48.791320","-122.395347","99","1","99","13","1"
"TucKi","Tuck Lake, King","Lake/Pond/Reservoir","Tuck Lake, King","King","LAT/LONG","47.767851","-122.030096","99","1","99","13","1"
"TulPi","Tule Lake, Pierce","Lake/Pond/Reservoir","Tule Lake, Pierce","Pierce","LAT/LONG","47.138235","-122.455710","99","1","99","13","1"
"TwiPi","Twin Lake, Pierce","Lake/Pond/Reservoir","Twin Lake, Pierce","Pierce","LAT/LONG","46.965125","-122.251596","99","1","99","13","1"
"TyeSn","Tye Lake, Snohomish","Lake/Pond/Reservoir","Tye Lake, Snohomish","Snohomish","LAT/LONG","47.867710","-122.011400","99","1","99","13","1"
"UniKi","Lake Union, King","Lake/Pond/Reservoir","Lake Union, King","King","LAT/LONG","47.641686","-122.330325","99","1","99","13","1"
"UnkOk","Unknown, Okanogan","Lake/Pond/Reservoir","Unknown, Okanogan","Okanogan","LAT/LONG","","","99","1","99","13","1"
"UPS","UPS-stormwater pond","Lake/Pond/Reservoir","UPS-stormwater pond","","LAT/LONG","","","99","1","99","13","1"
"VanCl","Vancouver Lake, Clark","Lake/Pond/Reservoir","Vancouver Lake, Clark","Clark","LAT/LONG","45.679084","-122.720457","99","1","99","13","1"
"WalKi","Walker Lake, King","Lake/Pond/Reservoir","Walker Lake, King","King","LAT/LONG","47.264227","-121.908501","99","1","99","13","1"
"WalLe","Walupt Lake, Lewis","Lake/Pond/Reservoir","Walupt Lake, Lewis","Lewis","LAT/LONG","46.417022","-121.463170","99","1","99","13","1"
"WapPi","Wapato Lake, Pierce","Lake/Pond/Reservoir","Wapato Lake, Pierce","Pierce","LAT/LONG","47.195726","-122.456792","99","1","99","13","1"
"WarTh","Ward Lake, Thurston","Lake/Pond/Reservoir","Ward Lake, Thurston","Thurston","LAT/LONG","47.008767","-122.875442","99","1","99","13","1"
"WasKi","Lake Washington, King","Lake/Pond/Reservoir","Lake Washington, King","King","LAT/LONG","47.624448","-122.262373","99","1","99","13","1"
"WauPi","Waughop Lake, Pierce","Lake/Pond/Reservoir","Waughop Lake, Pierce","Pierce","LAT/LONG","47.170579","-122.564531","99","1","99","13","1"
"WAVKi","Waverly Park Beach, King","Lake/Pond/Reservoir","Waverly Park Beach, King","King","LAT/LONG","47.687066","-122.217240","99","1","99","13","1"
"WecSk","Wecoma Lake, Skamania","Lake/Pond/Reservoir","Wecoma Lake, Skamania","Skamania","LAT/LONG","45.666789","-121.913815","99","1","99","13","1"
"WhiPi","Lake Whitman, Pierce","Lake/Pond/Reservoir","Lake Whitman, Pierce","Pierce","LAT/LONG","46.962802","-122.257218","99","1","99","13","1"
"WilJe","Williams Pond, Jefferson","Lake/Pond/Reservoir","Williams Pond, Jefferson","Jefferson","LAT/LONG","47.934343","-122.736350","99","1","99","13","1"
"WilKi","Wildcat Lake, Kitsap","Lake/Pond/Reservoir","Wildcat Lake, Kitsap","Kitsap","LAT/LONG","47.599628","-122.767323","99","1","99","13","1"
"WilKi","Lake Wilderness , King","Lake/Pond/Reservoir","Lake Wilderness , King","King","LAT/LONG","47.374573","-122.035609","99","1","99","13","1"
"WisWh","Wiser Lake, Whatcom","Lake/Pond/Reservoir","Wiser Lake, Whatcom","Whatcom","LAT/LONG","48.904080","-122.480228","99","1","99","13","1"
"YakBe","Yakima Delta, Benton","Lake/Pond/Reservoir","Yakima Delta, Benton","Benton","LAT/LONG","46.238860","-119.228810","99","1","99","13","1"
